attract_gain,drone_repel_gain,drone_repel_range,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
1.0,10.0,2.5,open_33,10,0,1.0,16900.0,4117,284579.6632476649,146.89999999999594,0.5118316999168069
1.0,10.0,2.5,open_33,10,1,1.0,14350.0,2927,219369.3502904931,113.19999999999784,0.5688213487099454
1.0,10.0,2.5,open_33,20,0,1.0,17825.0,3198,228533.1884508417,59.400000000000574,0.5331221200449926
1.0,10.0,2.5,open_33,20,1,1.0,15300.0,2549,192332.65776266158,49.80000000000044,0.5796259312649712
1.0,10.0,2.5,partial_33,2,0,0.9937106918238994,3225.0,3232,242424.00000000003,652.5000000000798,0.5595129096051382
1.0,10.0,2.5,partial_33,2,1,0.5773584905660377,775.0,3521,242424.00000000003,656.4000000000807,0.15581392286379478
1.0,10.0,2.5,partial_33,5,0,1.0,8200.0,6173,427827.0843967162,460.9000000000363,0.5084887569809368
1.0,10.0,2.5,partial_33,5,1,0.9974842767295597,4775.0,8561,606060.0,696.0000000000897,0.5063973304394717
1.0,10.0,2.5,partial_33,10,0,1.0,8475.0,4501,318861.93264451413,170.4999999999946,0.5791117079756315
1.0,10.0,2.5,partial_33,10,1,0.9849056603773585,10725.0,17984,1212120.0,685.1000000000872,0.3910910750493276
1.0,10.0,2.5,partial_33,20,0,1.0,11975.0,3884,280066.9518345706,74.20000000000006,0.5535303737911305
1.0,10.0,2.5,partial_33,20,1,1.0,13150.0,3336,246406.6821535728,65.20000000000057,0.5445618925952292
1.0,10.0,2.5,closed_33,2,0,0.4273356401384083,0.0,2485,242424.00000000003,706.7000000000921,0.010014182516804276
1.0,10.0,2.5,closed_33,2,1,0.4100346020761246,100.0,2039,242424.00000000003,705.8000000000919,-0.005246951118570681
1.0,10.0,2.5,closed_33,5,0,0.8235294117647058,1700.0,6773,606060.0,708.2000000000925,0.3634901185378735
1.0,10.0,2.5,closed_33,5,1,0.9775086505190311,3950.0,5608,606060.0,717.3000000000945,0.47851557174392345
1.0,10.0,2.5,closed_33,10,0,1.0,8575.0,5207,434510.5937183497,242.3999999999905,0.5001671583480468
1.0,10.0,2.5,closed_33,10,1,1.0,7925.0,11034,978206.8299417725,555.6000000000578,0.4338301923320429
1.0,10.0,2.5,closed_33,20,0,1.0,10950.0,4972,422689.86990570044,117.3999999999976,0.47872230650432357
1.0,10.0,2.5,closed_33,20,1,1.0,9675.0,4448,350669.4853719566,96.49999999999879,0.5127414672622024
1.0,10.0,4.0,open_33,2,0,0.9073881373569199,9650.0,3378,242424.00000000003,622.9000000000731,0.40399715438030925
1.0,10.0,4.0,open_33,2,1,0.886576482830385,1000.0,3348,242424.00000000003,626.7000000000739,0.49050218852716254
1.0,10.0,4.0,open_33,5,0,1.0,15450.0,3726,260812.0925690399,269.0999999999927,0.5064262461096433
1.0,10.0,4.0,open_33,5,1,1.0,12900.0,3076,228513.03876835876,234.49999999999096,0.5558698819085236
1.0,10.0,4.0,open_33,10,0,1.0,16500.0,2852,206019.85222581076,106.09999999999825,0.5450236526772331
1.0,10.0,4.0,open_33,10,1,1.0,15550.0,3116,224306.6811633252,115.6999999999977,0.549811117149961
1.0,10.0,4.0,open_33,20,0,1.0,15675.0,2635,190194.92952608643,49.50000000000043,0.5731063437543212
1.0,10.0,4.0,open_33,20,1,1.0,17000.0,2847,201577.06030880567,52.20000000000047,0.5514195122554116
1.0,10.0,4.0,partial_33,2,0,0.9433962264150944,2125.0,3313,242424.00000000003,649.7000000000792,0.5222541099279637
1.0,10.0,4.0,partial_33,2,1,0.6050314465408805,700.0,3502,242424.00000000003,654.2000000000802,0.18624993749641425
1.0,10.0,4.0,partial_33,5,0,0.9610062893081761,5975.0,8952,606060.0,678.3000000000857,0.44996312033232255
1.0,10.0,4.0,partial_33,5,1,0.9735849056603774,6175.0,8641,606060.0,693.2000000000891,0.4605956862181875
1.0,10.0,4.0,partial_33,10,0,0.9849056603773585,10525.0,17768,1212120.0,685.0000000000872,0.3942556815722581
1.0,10.0,4.0,partial_33,10,1,1.0,9075.0,5878,413084.9120358825,224.09999999999155,0.5495339126872119
1.0,10.0,4.0,partial_33,20,0,1.0,15400.0,4407,308209.38082752377,81.99999999999962,0.49503076003790536
1.0,10.0,4.0,partial_33,20,1,1.0,14425.0,5309,368121.490300091,99.09999999999864,0.49940296273317325
1.0,10.0,4.0,closed_33,2,0,0.4273356401384083,0.0,2485,242424.00000000003,706.7000000000921,0.010014182516804276
1.0,10.0,4.0,closed_33,2,1,0.41695501730103807,275.0,1199,242424.00000000003,721.5000000000955,0.017009563629373337
1.0,10.0,4.0,closed_33,5,0,0.9878892733564014,1300.0,7347,606060.0,701.3000000000909,0.5380894606082978
1.0,10.0,4.0,closed_33,5,1,0.7906574394463668,2025.0,5278,606060.0,727.5000000000969,0.328077313835769
1.0,10.0,4.0,closed_33,10,0,1.0,6525.0,6506,546193.3300614336,305.2000000000009,0.5239224646020539
1.0,10.0,4.0,closed_33,10,1,1.0,7975.0,5299,464525.78152799467,259.59999999999053,0.5085778708354468
1.0,10.0,4.0,closed_33,20,0,0.9965397923875432,10850.0,24446,2424240.0,720.1000000000952,0.33374175516011106
1.0,10.0,4.0,closed_33,20,1,0.9982698961937716,10475.0,28276,2424240.0,721.0000000000954,0.34235077945448134
2.0,2.0,1.5,open_33,2,0,0.29552549427679503,325.0,4477,242424.00000000003,630.7000000000749,-0.13508182267429977
2.0,2.0,1.5,open_33,2,1,0.1841831425598335,0.0,4621,242424.00000000003,631.1000000000749,-0.24919419058823744
2.0,2.0,1.5,open_33,5,0,0.5234131113423517,1200.0,11647,606060.0,626.7000000000739,0.07640402872522187
2.0,2.0,1.5,open_33,5,1,0.46097814776274715,425.0,11512,606060.0,631.1000000000749,0.022343418992455427
2.0,2.0,1.5,open_33,10,0,0.9240374609781478,8200.0,23316,1212120.0,633.1000000000754,0.3882061214788187
2.0,2.0,1.5,open_33,10,1,1.0,12125.0,19215,1004038.5794229178,515.3000000000486,0.4432364175167173
2.0,2.0,1.5,open_33,20,0,1.0,15500.0,4012,250637.62748322962,62.900000000000624,0.5494908271594455
2.0,2.0,1.5,open_33,20,1,1.0,13450.0,3340,216873.02279495914,54.4000000000005,0.5861588404817866
2.0,2.0,1.5,partial_33,2,0,0.7836477987421384,1725.0,3854,242424.00000000003,630.8000000000749,0.35491232383170646
2.0,2.0,1.5,partial_33,2,1,0.8641509433962264,1625.0,3202,242424.00000000003,655.3000000000804,0.4481738257613125
2.0,2.0,1.5,partial_33,5,0,0.9723270440251572,4675.0,8738,606060.0,684.300000000087,0.4816988560305434
2.0,2.0,1.5,partial_33,5,1,1.0,5200.0,3587,263178.67220273265,278.19999999999476,0.6132123232204136
2.0,2.0,1.5,partial_33,10,0,0.9849056603773585,9700.0,16840,1212120.0,692.4000000000889,0.40737529369792747
2.0,2.0,1.5,partial_33,10,1,1.0,7475.0,7746,568230.4130838406,312.8000000000026,0.547379750044595
2.0,2.0,1.5,partial_33,20,0,0.9660377358490566,9850.0,32302,2424240.0,718.9000000000949,0.3798810857345355
