pitch,attract_gain,drone_repel_gain,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
1.6,1.0,10.0,closed_33,2,1,0.2370242214532872,925.0,3065,242424.00000000003,700.7000000000908,-0.21378864757008606
1.6,1.0,10.0,closed_33,5,0,0.3944636678200692,650.0,6409,606060.0,726.4000000000966,-0.05316972523114247
1.6,1.0,10.0,closed_33,5,1,0.4740484429065744,375.0,6601,606060.0,729.5000000000973,0.0337748949704659
1.6,1.0,10.0,closed_33,10,0,0.7179930795847751,3925.0,15853,1212120.0,709.1000000000927,0.19971380709146405
1.6,1.0,10.0,closed_33,10,1,0.7750865051903114,6975.0,15697,1212120.0,710.300000000093,0.194156930851452
1.6,1.0,10.0,closed_33,20,0,0.9204152249134948,10425.0,31485,2424240.0,715.7000000000942,0.26451964610736345
1.6,1.0,10.0,closed_33,20,1,0.8512110726643599,9750.0,32915,2424240.0,729.3000000000973,0.20876271859030074
1.6,2.0,2.0,open_33,2,0,0.07180020811654526,0.0,4694,242424.00000000003,635.2000000000759,-0.3682982359079958
1.6,2.0,2.0,open_33,2,1,0.043704474505723206,0.0,4644,242424.00000000003,635.2000000000759,-0.39805110950338196
1.6,2.0,2.0,open_33,5,0,0.13943808532778357,0.0,11835,606060.0,636.1000000000761,-0.3016476825354929
1.6,2.0,2.0,open_33,5,1,0.10822060353798127,0.0,11678,606060.0,635.2000000000759,-0.33357573362416815
1.6,2.0,2.0,open_33,10,0,0.9823100936524454,20675.0,22961,1212120.0,635.600000000076,0.2915439687615756
1.6,2.0,2.0,open_33,10,1,0.5005202913631633,6800.0,23743,1212120.0,635.600000000076,-0.0228788013038366
1.6,2.0,2.0,open_33,20,0,1.0,22450.0,31460,1631641.2690689906,414.90000000002584,0.3313406752590513
1.6,2.0,2.0,open_33,20,1,1.0,24000.0,36709,1880365.861644554,479.50000000004053,0.2959269018735871
1.6,2.0,2.0,partial_33,2,0,0.09685534591194969,0.0,4369,242424.00000000003,667.9000000000833,-0.34239341702102377
1.6,2.0,2.0,partial_33,2,1,0.25660377358490566,0.0,3802,242424.00000000003,667.0000000000831,-0.17256358648609896
1.6,2.0,2.0,partial_33,5,0,0.38616352201257864,3000.0,9426,606060.0,675.0000000000849,-0.09410128846921392
1.6,2.0,2.0,partial_33,5,1,0.3018867924528302,1350.0,9444,606060.0,710.9000000000931,-0.15550006624426208
1.6,2.0,2.0,partial_33,10,0,0.630188679245283,4225.0,19445,1212120.0,694.0000000000892,0.12950599532784643
1.6,2.0,2.0,partial_33,10,1,0.4666666666666667,1950.0,18838,1212120.0,697.40000000009,-0.0014175810539543698
1.6,2.0,2.0,partial_33,20,0,0.7723270440251573,9650.0,35657,2424240.0,693.3000000000891,0.18730065954129257
1.6,2.0,2.0,partial_33,20,1,0.6943396226415094,6975.0,34821,2424240.0,707.8000000000924,0.14929369609446994
1.6,2.0,2.0,closed_33,2,0,0.2041522491349481,0.0,1906,242424.00000000003,713.8000000000937,-0.22280207673242125
1.6,2.0,2.0,closed_33,2,1,0.1522491349480969,0.0,1318,242424.00000000003,734.8000000000985,-0.2734186380880972
1.6,2.0,2.0,closed_33,5,0,0.3546712802768166,225.0,4760,606060.0,731.1000000000977,-0.082057737495804
1.6,2.0,2.0,closed_33,5,1,0.47750865051903113,350.0,7655,606060.0,730.6000000000976,0.03623781547992924
1.6,2.0,2.0,closed_33,10,0,0.6833910034602076,3825.0,10450,1212120.0,731.1000000000977,0.17046148863906477
1.6,2.0,2.0,closed_33,10,1,0.6470588235294118,3250.0,14321,1212120.0,730.4000000000975,0.14277558072712368
1.6,2.0,2.0,closed_33,20,0,0.8875432525951558,9725.0,23840,2424240.0,728.5000000000971,0.24751524391663807
1.6,2.0,2.0,closed_33,20,1,0.8494809688581315,9650.0,22623,2424240.0,730.7000000000976,0.21106326474961198
1.6,2.0,5.0,open_33,2,0,0.07180020811654526,0.0,4694,242424.00000000003,635.2000000000759,-0.3682982359079958
1.6,2.0,5.0,open_33,2,1,0.043704474505723206,0.0,4644,242424.00000000003,635.2000000000759,-0.39805110950338196
1.6,2.0,5.0,open_33,5,0,0.13943808532778357,0.0,11835,606060.0,636.1000000000761,-0.3016476825354929
1.6,2.0,5.0,open_33,5,1,0.10822060353798127,0.0,11678,606060.0,635.2000000000759,-0.33357573362416815
1.6,2.0,5.0,open_33,10,0,0.9854318418314256,18675.0,23141,1212120.0,635.2000000000759,0.31958706281768956
1.6,2.0,5.0,open_33,10,1,0.2715920915712799,875.0,23910,1212120.0,638.9000000000767,-0.18053905236095816
1.6,2.0,5.0,open_33,20,0,1.0,22550.0,26587,1372217.001929703,351.8000000000115,0.34712233899980227
1.6,2.0,5.0,open_33,20,1,1.0,23975.0,40497,2053180.3288940468,525.600000000051,0.28524292513141997
1.6,2.0,5.0,partial_33,2,0,0.09685534591194969,0.0,4369,242424.00000000003,667.9000000000833,-0.34239341702102377
1.6,2.0,5.0,partial_33,2,1,0.25660377358490566,0.0,3802,242424.00000000003,667.0000000000831,-0.17256358648609896
