block_size,attract_gain,drone_repel_gain,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
3,4.0,5.0,open_33,20,1,1.0,16325.0,4058,226897.10296351416,56.40000000000053,0.540072266133507
3,4.0,5.0,partial_33,2,0,0.1069182389937107,0.0,3118,242424.00000000003,728.300000000097,-0.32956491915663444
3,4.0,5.0,partial_33,2,1,0.379874213836478,0.0,2150,242424.00000000003,704.6000000000917,-0.027620801570446024
3,4.0,5.0,partial_33,5,0,0.5836477987421383,1300.0,5976,606060.0,727.5000000000969,0.14119561962055807
3,4.0,5.0,partial_33,5,1,0.5308176100628931,1250.0,5916,606060.0,709.2000000000927,0.08747999653350427
3,4.0,5.0,partial_33,10,0,0.810062893081761,4175.0,8845,1212120.0,719.8000000000951,0.3229599980381124
3,4.0,5.0,partial_33,10,1,0.9333333333333333,5350.0,9439,1212120.0,728.5000000000971,0.4299984288569759
3,4.0,5.0,partial_33,20,0,1.0,10925.0,3352,306723.45259081386,83.19999999999955,0.5743301696933265
3,4.0,5.0,partial_33,20,1,1.0,11725.0,3726,307182.13995411573,82.2999999999996,0.5574697293101796
3,4.0,5.0,closed_33,2,0,0.28719723183391005,0.0,720,242424.00000000003,719.100000000095,-0.1010395376669678
3,4.0,5.0,closed_33,2,1,0.1903114186851211,0.0,1626,242424.00000000003,733.5000000000982,-0.23512380916946157
3,4.0,5.0,closed_33,5,0,0.6885813148788927,475.0,2454,606060.0,732.9000000000981,0.27614063638270536
3,4.0,5.0,closed_33,5,1,0.7560553633217993,475.0,2721,606060.0,733.6000000000982,0.34326294339464614
3,4.0,5.0,closed_33,10,0,0.870242214532872,1700.0,5652,1212120.0,733.0000000000981,0.41502030556890734
3,4.0,5.0,closed_33,10,1,0.7716262975778547,4750.0,4422,1212120.0,733.4000000000982,0.2560515565563717
3,4.0,5.0,closed_33,20,0,0.9982698961937716,8600.0,9714,2424240.0,732.300000000098,0.3920992617334601
3,4.0,5.0,closed_33,20,1,0.9705882352941176,7625.0,10928,2424240.0,733.1000000000981,0.38248808707886306
3,4.0,10.0,open_33,2,0,0.36212278876170656,1100.0,5077,242424.00000000003,600.400000000068,-0.07681310803891447
3,4.0,10.0,open_33,2,1,0.36212278876170656,0.0,5247,242424.00000000003,604.4000000000689,-0.06366213825646441
3,4.0,10.0,open_33,5,0,0.5098855359001041,1750.0,13422,606060.0,603.8000000000687,0.054155271684109135
3,4.0,10.0,open_33,5,1,1.0,6425.0,7047,348025.7951384976,347.60000000001054,0.5728263395141339
3,4.0,10.0,open_33,10,0,1.0,9875.0,3972,221339.60352234775,110.29999999999801,0.6087577558507403
3,4.0,10.0,open_33,10,1,1.0,10225.0,7487,372117.16760116955,185.69999999999374,0.5621029131177746
3,4.0,10.0,open_33,20,0,1.0,14050.0,3406,193362.98824108066,48.40000000000042,0.5790543906693575
3,4.0,10.0,open_33,20,1,1.0,13825.0,4497,242614.64810918272,60.800000000000594,0.5657330681507264
3,4.0,10.0,partial_33,2,0,0.1069182389937107,0.0,3118,242424.00000000003,728.300000000097,-0.32956491915663444
3,4.0,10.0,partial_33,2,1,0.379874213836478,0.0,2150,242424.00000000003,704.6000000000917,-0.027620801570446024
3,4.0,10.0,partial_33,5,0,0.7396226415094339,2325.0,4113,606060.0,728.300000000097,0.2976077885208419
3,4.0,10.0,partial_33,5,1,0.529559748427673,700.0,5410,606060.0,721.8000000000956,0.09620935885585138
3,4.0,10.0,partial_33,10,0,0.8163522012578617,4000.0,9511,1212120.0,719.200000000095,0.3306937841496228
3,4.0,10.0,partial_33,10,1,0.879245283018868,3875.0,11057,1212120.0,722.2000000000957,0.3941479724346121
3,4.0,10.0,partial_33,20,0,1.0,11375.0,2298,194988.31924376404,51.000000000000455,0.5937934234806167
3,4.0,10.0,partial_33,20,1,1.0,14100.0,3504,266731.05014455086,69.9000000000003,0.5267550885006553
3,4.0,10.0,closed_33,2,0,0.28719723183391005,0.0,720,242424.00000000003,719.100000000095,-0.1010395376669678
