lane_spacing,attract_gain,drone_repel_gain,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
1.0,5.0,2.0,closed_33,10,1,0.46539792387543255,3300.0,7551,1212120.0,734.8000000000985,-0.037238938201026334
1.0,5.0,2.0,closed_33,20,0,0.7768166089965398,5900.0,12543,2424240.0,734.9000000000985,0.22024873379033835
1.0,5.0,2.0,closed_33,20,1,0.5103806228373703,3175.0,9555,2424240.0,734.9000000000985,0.00900399494922885
1.0,5.0,5.0,open_33,2,0,0.27991675338189387,575.0,4946,242424.00000000003,614.8000000000712,-0.1562331193526327
1.0,5.0,5.0,open_33,2,1,0.6514047866805411,1900.0,4744,242424.00000000003,610.5000000000703,0.21820712311495313
1.0,5.0,5.0,open_33,5,0,0.3350676378772112,2825.0,13610,606060.0,624.7000000000735,-0.1377188831257994
1.0,5.0,5.0,open_33,5,1,0.3673257023933403,2950.0,13631,606060.0,621.0000000000726,-0.10638243005963835
1.0,5.0,5.0,open_33,10,0,0.8314255983350677,9350.0,27392,1212120.0,616.4000000000716,0.2787304856287729
1.0,5.0,5.0,open_33,10,1,1.0,14175.0,21748,996290.7059969609,505.50000000004644,0.41696752416973626
1.0,5.0,5.0,open_33,20,0,1.0,20700.0,5471,301385.39206075016,75.59999999999998,0.4683844477399497
1.0,5.0,5.0,open_33,20,1,1.0,19175.0,5286,298746.6130404859,74.70000000000003,0.48891172991787907
1.0,5.0,5.0,partial_33,2,0,0.21761006289308177,875.0,2502,242424.00000000003,714.1000000000938,-0.22064005956229552
1.0,5.0,5.0,partial_33,2,1,0.18742138364779873,0.0,1187,242424.00000000003,731.8000000000978,-0.22356497696431038
1.0,5.0,5.0,partial_33,5,0,0.2679245283018868,2050.0,6986,606060.0,728.6000000000971,-0.19858707955886024
1.0,5.0,5.0,partial_33,5,1,0.30440251572327043,1950.0,5643,606060.0,731.8000000000978,-0.1571394423871941
1.0,5.0,5.0,partial_33,10,0,0.939622641509434,10050.0,12337,1212120.0,721.6000000000955,0.36060787352421086
1.0,5.0,5.0,partial_33,10,1,0.6628930817610063,6375.0,14416,1212120.0,733.3000000000982,0.13280242700037923
1.0,5.0,5.0,partial_33,20,0,0.9974842767295597,16225.0,28899,2424240.0,725.1000000000963,0.31614643110215257
1.0,5.0,5.0,partial_33,20,1,1.0,15500.0,5458,412063.7478369172,109.09999999999808,0.47962727164279667
1.0,5.0,5.0,closed_33,2,0,0.04498269896193772,0.0,267,242424.00000000003,734.1000000000984,-0.3728405850729504
1.0,5.0,5.0,closed_33,2,1,0.0328719723183391,0.0,841,242424.00000000003,734.9000000000985,-0.40494456514936117
1.0,5.0,5.0,closed_33,5,0,0.10034602076124567,125.0,1182,606060.0,734.2000000000984,-0.3326613213280252
1.0,5.0,5.0,closed_33,5,1,0.33217993079584773,525.0,4068,606060.0,734.9000000000985,-0.10964304086727208
1.0,5.0,5.0,closed_33,10,0,0.39965397923875434,850.0,6009,1212120.0,734.4000000000984,-0.051331754798450285
1.0,5.0,5.0,closed_33,10,1,0.47231833910034604,3200.0,7768,1212120.0,734.9000000000985,-0.02837679116748884
1.0,5.0,5.0,closed_33,20,0,0.726643598615917,6050.0,13467,2424240.0,734.9000000000985,0.1656668517991111
1.0,5.0,5.0,closed_33,20,1,0.6695501730103807,3725.0,7618,2424240.0,734.9000000000985,0.16227352378043233
1.0,5.0,10.0,open_33,2,0,0.4432882414151925,950.0,5149,242424.00000000003,613.900000000071,0.009904920706766712
1.0,5.0,10.0,open_33,2,1,0.47658688865764826,1350.0,5059,242424.00000000003,613.600000000071,0.040189843633442496
1.0,5.0,10.0,open_33,5,0,0.41935483870967744,3975.0,13428,606060.0,627.8000000000742,-0.06598416831948697
1.0,5.0,10.0,open_33,5,1,0.4745057232049948,4100.0,13167,606060.0,629.1000000000745,-0.0110935503705413
1.0,5.0,10.0,open_33,10,0,0.659729448491155,8050.0,27144,1212120.0,628.5000000000744,0.12161185790638543
1.0,5.0,10.0,open_33,10,1,1.0,13275.0,6138,318395.5941373415,160.59999999999516,0.5369043458310608
1.0,5.0,10.0,open_33,20,0,1.0,19150.0,4969,288386.1202947777,72.60000000000015,0.49230826664739663
1.0,5.0,10.0,open_33,20,1,1.0,20200.0,5636,318383.4377447469,80.39999999999971,0.4724940642520665
1.0,5.0,10.0,partial_33,2,0,0.2138364779874214,975.0,2662,242424.00000000003,712.4000000000934,-0.22731647301282734
1.0,5.0,10.0,partial_33,2,1,0.18742138364779873,0.0,1187,242424.00000000003,731.8000000000978,-0.22356497696431038
1.0,5.0,10.0,partial_33,5,0,0.27672955974842767,2200.0,7108,606060.0,728.7000000000971,-0.1919158816474875
1.0,5.0,10.0,partial_33,5,1,0.31069182389937106,2075.0,3902,606060.0,731.8000000000978,-0.14721365002705813
1.0,5.0,10.0,partial_33,10,0,1.0,12075.0,8356,699805.2764241499,388.10000000001975,0.46040502894105095
1.0,5.0,10.0,partial_33,10,1,0.6691823899371069,6175.0,12344,1212120.0,731.7000000000978,0.1439255520973153
1.0,5.0,10.0,partial_33,20,0,1.0,17775.0,8799,603253.6419369611,160.39999999999517,0.42061350148598015
1.0,5.0,10.0,partial_33,20,1,1.0,16375.0,5455,400314.47361600306,106.09999999999825,0.46713809410753043
1.0,5.0,10.0,closed_33,2,0,0.04498269896193772,0.0,267,242424.00000000003,734.1000000000984,-0.3728405850729504
1.0,5.0,10.0,closed_33,2,1,0.0328719723183391,0.0,841,242424.00000000003,734.9000000000985,-0.40494456514936117
1.0,5.0,10.0,closed_33,5,0,0.10380622837370242,150.0,887,606060.0,734.2000000000984,-0.3247450111584895
1.0,5.0,10.0,closed_33,5,1,0.33217993079584773,525.0,4068,606060.0,734.9000000000985,-0.10964304086727208
1.0,5.0,10.0,closed_33,10,0,0.39965397923875434,850.0,5561,1212120.0,734.4000000000984,-0.05047274502369467
