attract_gain,drone_repel_gain,drone_repel_range,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
1.0,2.0,2.5,closed_33,10,1,0.7993079584775087,6900.0,13614,1212120.0,714.2000000000938,0.22145746619193293
1.0,2.0,2.5,closed_33,20,0,1.0,8075.0,6848,625656.0619338178,177.5999999999942,0.5184246207273316
1.0,2.0,2.5,closed_33,20,1,0.9982698961937716,11050.0,26326,2424240.0,719.6000000000951,0.33084791370961586
1.0,2.0,4.0,open_33,2,0,0.9334027055150884,2225.0,3290,242424.00000000003,637.0000000000763,0.5254450629177964
1.0,2.0,4.0,open_33,2,1,0.11238293444328824,0.0,3785,242424.00000000003,648.3000000000789,-0.32373887963896764
1.0,2.0,4.0,open_33,5,0,1.0,14000.0,5989,400048.07166514423,416.1000000000261,0.4713192306071845
1.0,2.0,4.0,open_33,5,1,0.37148803329864727,1225.0,9625,606060.0,653.40000000008,-0.07752366445982697
1.0,2.0,4.0,open_33,10,0,1.0,14850.0,4004,280748.49360172055,145.59999999999602,0.5391787278152714
1.0,2.0,4.0,open_33,10,1,1.0,11925.0,5739,388885.69241262437,203.49999999999272,0.5477802045874826
1.0,2.0,4.0,open_33,20,0,1.0,15450.0,2719,204785.3871310642,53.60000000000049,0.5732165456583356
1.0,2.0,4.0,open_33,20,1,1.0,15300.0,2756,204236.94082366908,53.30000000000049,0.5743424319971095
1.0,2.0,4.0,partial_33,2,0,0.3320754716981132,100.0,3692,242424.00000000003,668.8000000000835,-0.09385818426167933
1.0,2.0,4.0,partial_33,2,1,0.45660377358490567,375.0,3602,242424.00000000003,663.9000000000824,0.03396427334565286
1.0,2.0,4.0,partial_33,5,0,1.0,11625.0,4460,313136.51016174816,334.6000000000076,0.4952827062889298
1.0,2.0,4.0,partial_33,5,1,0.6716981132075471,1875.0,9041,606060.0,683.7000000000869,0.21568285246673344
1.0,2.0,4.0,partial_33,10,0,0.9433962264150944,10650.0,18311,1212120.0,693.100000000089,0.35000127253371804
1.0,2.0,4.0,partial_33,10,1,0.9962264150943396,13800.0,18065,1212120.0,686.6000000000876,0.35608017931271085
1.0,2.0,4.0,partial_33,20,0,1.0,11300.0,3070,229857.87707265792,61.1000000000006,0.5774458826597849
1.0,2.0,4.0,partial_33,20,1,1.0,13650.0,3168,230897.81965872133,61.1000000000006,0.5403862691836441
1.0,2.0,4.0,closed_33,2,0,0.43771626297577854,0.0,2184,242424.00000000003,706.200000000092,0.024416668757021392
1.0,2.0,4.0,closed_33,2,1,0.4688581314878893,25.0,2311,242424.00000000003,714.5000000000939,0.05538187511149115
1.0,2.0,4.0,closed_33,5,0,0.7577854671280276,1425.0,7091,606060.0,710.8000000000931,0.30120876453159784
1.0,2.0,4.0,closed_33,5,1,0.9013840830449827,2625.0,7238,606060.0,711.6000000000932,0.4225857172028623
1.0,2.0,4.0,closed_33,10,0,0.9965397923875432,6150.0,12592,1212120.0,725.8000000000965,0.43753640879314093
