policy,map_label,n_drones,seed,final_coverage,time_to_50,time_to_80,time_to_100,total_energy_j,overlap_m2,wasted_visits,time_to_terminal,reason
ACO,partial_33,2,1,1.0,114.09999999999779,328.4000000000062,448.30000000003344,168980.75863640726,6750.0,1912,448.30000000003344,COMPLETED
SA,partial_33,2,1,0.9977502812148481,100.29999999999858,160.19999999999519,inf,242424.00000000003,3475.0,2056,684.8000000000872,ALL_DEPLETED
GWO,partial_33,2,1,0.7547806524184477,182.5999999999939,inf,inf,242424.00000000003,11750.0,3230,651.8000000000796,ALL_DEPLETED
MARL,partial_33,2,1,0.9291338582677166,84.49999999999947,214.6999999999921,inf,242424.00000000003,5100.0,2833,648.900000000079,ALL_DEPLETED
Random,partial_33,2,2,0.9381327334083239,189.09999999999354,373.3000000000164,inf,242424.00000000003,11150.0,2734,667.6000000000832,ALL_DEPLETED
PF,partial_33,2,2,0.9865016872890888,119.79999999999747,282.8999999999958,inf,242424.00000000003,3425.0,2467,691.5000000000887,ALL_DEPLETED
Consensus,partial_33,2,2,0.7244094488188977,132.69999999999675,inf,inf,242424.00000000003,1050.0,1218,710.500000000093,ALL_DEPLETED
PSO,partial_33,2,2,1.0,147.5999999999959,284.29999999999615,374.40000000001663,138531.6514985963,4925.0,1255,374.40000000001663,COMPLETED
GA,partial_33,2,2,1.0,116.39999999999766,187.39999999999364,249.39999999999011,96978.77057256713,3000.0,808,249.39999999999011,COMPLETED
ACO,partial_33,2,2,1.0,128.99999999999696,432.4000000000298,544.4000000000552,202818.61979984638,5200.0,2187,544.4000000000552,COMPLETED
SA,partial_33,2,2,1.0,111.09999999999796,190.59999999999346,255.0999999999898,99806.30352406448,5750.0,1051,255.0999999999898,COMPLETED
GWO,partial_33,2,2,1.0,233.39999999999102,365.4000000000146,553.4000000000573,213012.82073605782,17100.0,2710,553.4000000000573,COMPLETED
MARL,partial_33,2,2,0.9482564679415073,114.49999999999777,323.200000000005,inf,242424.00000000003,1925.0,2820,649.3000000000791,ALL_DEPLETED
Random,partial_33,5,0,0.9966254218222722,69.20000000000034,160.29999999999518,inf,606060.0,21575.0,8406,672.3000000000843,ALL_DEPLETED
PF,partial_33,5,0,1.0,36.900000000000254,81.69999999999963,178.39999999999415,173806.51891359093,13950.0,2174,178.39999999999415,COMPLETED
Consensus,partial_33,5,0,1.0,38.20000000000027,76.79999999999991,134.59999999999664,126659.6358554241,7550.0,1108,134.59999999999664,COMPLETED
PSO,partial_33,5,0,0.9943757030371203,39.9000000000003,81.09999999999967,inf,606060.0,8800.0,4464,717.0000000000945,ALL_DEPLETED
GA,partial_33,5,0,1.0,47.2000000000004,77.0999999999999,137.69999999999646,133550.2824780855,11300.0,1343,137.69999999999646,COMPLETED
ACO,partial_33,5,0,1.0,44.80000000000037,93.29999999999897,128.69999999999698,125507.2811435957,8450.0,1456,128.69999999999698,COMPLETED
SA,partial_33,5,0,1.0,61.500000000000604,116.09999999999768,161.5999999999951,155395.1492438413,12200.0,1774,161.5999999999951,COMPLETED
GWO,partial_33,5,0,0.890888638920135,98.69999999999867,175.6999999999943,inf,606060.0,17325.0,8301,660.2000000000816,ALL_DEPLETED
MARL,partial_33,5,0,0.9741282339707537,40.80000000000031,93.69999999999895,inf,606060.0,16950.0,7384,678.6000000000857,ALL_DEPLETED
Random,partial_33,5,1,0.9977502812148481,62.70000000000062,182.9999999999939,inf,606060.0,21650.0,8304,672.3000000000843,ALL_DEPLETED
PF,partial_33,5,1,1.0,47.90000000000041,82.89999999999957,151.0999999999957,145730.83474181488,6700.0,1780,151.0999999999957,COMPLETED
Consensus,partial_33,5,1,1.0,34.70000000000022,70.80000000000025,135.59999999999658,127717.13040816877,7275.0,1128,135.59999999999658,COMPLETED
PSO,partial_33,5,1,1.0,45.80000000000038,93.59999999999896,174.0999999999944,163547.93401921913,8525.0,1739,174.0999999999944,COMPLETED
GA,partial_33,5,1,1.0,35.00000000000023,64.20000000000063,120.59999999999742,114375.47315819573,5375.0,982,120.59999999999742,COMPLETED
ACO,partial_33,5,1,0.9988751406074241,38.00000000000027,96.59999999999879,inf,606060.0,9300.0,4698,710.1000000000929,ALL_DEPLETED
SA,partial_33,5,1,1.0,34.100000000000215,74.90000000000002,110.59999999999799,107183.99921185896,4700.0,1143,110.59999999999799,COMPLETED
GWO,partial_33,5,1,1.0,112.39999999999789,216.199999999992,349.50000000001097,338710.8729057256,20750.0,4723,349.50000000001097,COMPLETED
MARL,partial_33,5,1,0.9775028121484814,43.300000000000345,124.79999999999718,inf,606060.0,17500.0,7451,684.200000000087,ALL_DEPLETED
Random,partial_33,5,2,0.9966254218222722,58.100000000000556,167.89999999999475,inf,606060.0,21350.0,8017,673.0000000000845,ALL_DEPLETED
PF,partial_33,5,2,1.0,39.700000000000294,79.39999999999976,136.19999999999655,134195.77558203344,11400.0,1564,136.19999999999655,COMPLETED
Consensus,partial_33,5,2,1.0,35.90000000000024,77.69999999999986,147.09999999999593,137064.682899468,6325.0,1181,147.09999999999593,COMPLETED
PSO,partial_33,5,2,0.984251968503937,57.90000000000055,101.39999999999851,inf,606060.0,8300.0,4066,718.8000000000949,ALL_DEPLETED
GA,partial_33,5,2,1.0,34.100000000000215,65.00000000000058,118.59999999999754,114958.15069425898,8100.0,1050,118.59999999999754,COMPLETED
ACO,partial_33,5,2,1.0,52.20000000000047,90.39999999999914,145.699999999996,142849.44068147475,10250.0,1715,145.699999999996,COMPLETED
SA,partial_33,5,2,1.0,36.200000000000244,98.49999999999868,143.49999999999613,137722.078023809,9700.0,1490,143.49999999999613,COMPLETED
GWO,partial_33,5,2,0.9606299212598425,137.2999999999965,214.19999999999212,inf,606060.0,19125.0,7391,684.300000000087,ALL_DEPLETED
