T_initial,cooling_rate,perturb_radius,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
0.5,0.999,6.0,open_33,2,0,0.9927159209157128,17575.0,3600,242424.00000000003,600.3000000000679,0.39165842929132977
0.5,0.999,6.0,open_33,2,1,1.0,17575.0,3615,241724.02933641215,594.3000000000666,0.3995163472216552
0.5,0.999,6.0,open_33,5,0,1.0,21175.0,4532,293298.3269923312,292.7999999999981,0.418170072289127
0.5,0.999,6.0,open_33,5,1,1.0,22800.0,9150,529519.912438405,526.1000000000511,0.31760769422516466
0.5,0.999,6.0,open_33,10,0,1.0,22375.0,7861,462493.15315176477,230.69999999999118,0.39816937992537077
0.5,0.999,6.0,open_33,10,1,1.0,22675.0,6294,383757.8857008908,190.99999999999343,0.41086435803641663
0.5,0.999,6.0,open_33,20,0,1.0,22325.0,4840,303696.6950634434,75.59999999999998,0.4528309359820936
0.5,0.999,6.0,open_33,20,1,1.0,22275.0,4465,284351.4782796502,70.90000000000025,0.45804267442592955
0.5,0.999,6.0,partial_33,2,0,0.7044025157232704,5725.0,3485,242424.00000000003,648.0000000000788,0.2150757334286966
0.5,0.999,6.0,partial_33,2,1,0.670440251572327,2000.0,3454,242424.00000000003,664.2000000000825,0.23591247024527826
0.5,0.999,6.0,partial_33,5,0,0.969811320754717,14925.0,8529,606060.0,678.6000000000857,0.3249548251842834
0.5,0.999,6.0,partial_33,5,1,0.32452830188679244,1750.0,8910,606060.0,686.8000000000876,-0.13788882852031129
0.5,0.999,6.0,partial_33,10,0,1.0,17850.0,8128,534340.2791861864,283.89999999999606,0.39361910281938756
0.5,0.999,6.0,partial_33,10,1,1.0,17900.0,7911,513111.4888117397,267.6999999999924,0.3960603739277224
0.5,0.999,6.0,partial_33,20,0,1.0,19125.0,7016,457575.50756164687,118.49999999999754,0.41459071596246533
0.5,0.999,6.0,partial_33,20,1,1.0,18425.0,6758,433843.3224322074,111.49999999999794,0.42761379218611584
0.5,0.999,6.0,closed_33,2,0,0.5899653979238755,825.0,2260,242424.00000000003,710.600000000093,0.16772395232602852
0.5,0.999,6.0,closed_33,2,1,0.27335640138408307,0.0,2259,242424.00000000003,720.0000000000952,-0.1514769549345856
0.5,0.999,6.0,closed_33,5,0,0.9377162629757786,10050.0,6250,606060.0,693.5000000000891,0.3085612288288142
0.5,0.999,6.0,closed_33,5,1,0.5017301038062284,2225.0,5414,606060.0,733.3000000000982,0.0263443421534387
0.5,0.999,6.0,closed_33,10,0,1.0,12475.0,7506,698701.6758016457,388.7000000000199,0.379191204583835
0.5,0.999,6.0,closed_33,10,1,0.903114186851211,8100.0,11309,1212120.0,726.0000000000965,0.30374006525516295
0.5,0.999,6.0,closed_33,20,0,1.0,12925.0,5519,445691.2288582963,120.29999999999744,0.4335453205452949
0.5,0.999,6.0,closed_33,20,1,1.0,12500.0,10821,1084954.0610036184,308.8000000000017,0.39105104564190174
0.5,0.999,10.0,open_33,2,0,0.9885535900104059,16900.0,3570,242424.00000000003,600.500000000068,0.39613206601203077
0.5,0.999,10.0,open_33,2,1,0.991675338189386,17975.0,3592,242424.00000000003,599.7000000000678,0.38568149010530606
0.5,0.999,10.0,open_33,5,0,0.9906347554630593,20650.0,10336,606060.0,619.3000000000723,0.3136351162541251
0.5,0.999,10.0,open_33,5,1,0.9947970863683663,21150.0,10288,606060.0,620.3000000000725,0.3117596830152788
0.5,0.999,10.0,open_33,10,0,1.0,22850.0,9318,546955.0002762354,278.6999999999949,0.3775408224981067
0.5,0.999,10.0,open_33,10,1,1.0,21850.0,5592,348474.64556944417,173.9999999999944,0.42962772244058994
0.5,0.999,10.0,open_33,20,0,1.0,22625.0,7611,448748.5535107865,113.69999999999781,0.4243765862337891
0.5,0.999,10.0,open_33,20,1,1.0,22775.0,6703,399097.74225816503,98.99999999999865,0.4294465754560677
0.5,0.999,10.0,partial_33,2,0,0.7433962264150943,4400.0,3465,242424.00000000003,656.3000000000807,0.2762497053825065
0.5,0.999,10.0,partial_33,2,1,0.5761006289308176,4800.0,3407,242424.00000000003,666.8000000000831,0.09475316024853483
0.5,0.999,10.0,partial_33,5,0,0.5987421383647799,6625.0,9726,606060.0,655.3000000000804,0.0682949493604452
0.5,0.999,10.0,partial_33,5,1,0.9610062893081761,13175.0,8720,606060.0,669.4000000000837,0.34186093847123755
0.5,0.999,10.0,partial_33,10,0,0.9710691823899371,15775.0,18024,1212120.0,678.4000000000857,0.30083330098781
0.5,0.999,10.0,partial_33,10,1,1.0,18825.0,6464,421566.0665218858,217.49999999999193,0.39846814869683156
0.5,0.999,10.0,partial_33,20,0,1.0,19025.0,8801,560415.2658059085,144.99999999999605,0.4042928515776492
0.5,0.999,10.0,partial_33,20,1,1.0,18725.0,12095,812376.325634635,218.0999999999919,0.38745706804266816
0.5,0.999,10.0,closed_33,2,0,0.2508650519031142,0.0,2694,242424.00000000003,714.700000000094,-0.17825709595802627
0.5,0.999,10.0,closed_33,2,1,0.1782006920415225,275.0,984,242424.00000000003,731.2000000000977,-0.24352623203799262
0.5,0.999,10.0,closed_33,5,0,0.9446366782006921,7700.0,5952,606060.0,705.7000000000919,0.3655383982934328
0.5,0.999,10.0,closed_33,5,1,0.7560553633217993,3325.0,5218,606060.0,717.6000000000946,0.2657628008815218
