pheromone_weight,heuristic_weight,evaporation_rate,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
0.5,4.0,0.05,partial_33,20,1,1.0,16275.0,2973,220296.65428478178,57.300000000000544,0.5045097788749681
0.5,4.0,0.05,closed_33,2,0,0.6176470588235294,950.0,2256,242424.00000000003,691.3000000000886,0.19446680182619866
0.5,4.0,0.05,closed_33,2,1,0.7439446366782007,75.0,2344,242424.00000000003,694.4000000000893,0.34444634322055157
0.5,4.0,0.05,closed_33,5,0,0.9221453287197232,2975.0,5415,606060.0,716.7000000000944,0.4428191642705317
0.5,4.0,0.05,closed_33,5,1,0.9913494809688581,4450.0,6448,606060.0,699.5000000000905,0.479001185053616
0.5,4.0,0.05,closed_33,10,0,0.9204152249134948,6925.0,10598,1212120.0,722.0000000000956,0.34653877681298195
0.5,4.0,0.05,closed_33,10,1,0.9775086505190311,7725.0,10983,1212120.0,720.7000000000953,0.38736144953441076
0.5,4.0,0.05,closed_33,20,0,1.0,9250.0,2107,189142.009392153,50.90000000000045,0.561269760432571
0.5,4.0,0.05,closed_33,20,1,1.0,10525.0,2130,194962.5880084741,52.60000000000048,0.5339038530952236
0.5,4.0,0.15,open_33,2,0,0.9729448491155047,12925.0,3490,242424.00000000003,623.7000000000733,0.43049585432625703
0.5,4.0,0.15,open_33,2,1,1.0,8550.0,3380,236975.45846053638,602.5000000000684,0.5184514625801877
0.5,4.0,0.15,open_33,5,0,1.0,17400.0,2451,185382.89763060457,186.79999999999367,0.523039255459415
0.5,4.0,0.15,open_33,5,1,1.0,15375.0,2220,170004.08818186284,170.4999999999946,0.5581266822266688
0.5,4.0,0.15,open_33,10,0,1.0,17525.0,2332,175971.34575465135,88.89999999999922,0.5477448600810259
0.5,4.0,0.15,open_33,10,1,1.0,19225.0,2646,193068.4860816046,97.09999999999876,0.516858132041689
0.5,4.0,0.15,open_33,20,0,1.0,18025.0,2279,170242.67254629591,43.200000000000344,0.5537598017274875
0.5,4.0,0.15,open_33,20,1,1.0,17100.0,2334,172878.05912073934,43.900000000000354,0.5636679696077732
0.5,4.0,0.15,partial_33,2,0,0.989937106918239,1650.0,3334,242424.00000000003,646.9000000000785,0.5778789215334658
0.5,4.0,0.15,partial_33,2,1,0.9962264150943396,4375.0,2670,242424.00000000003,680.4000000000862,0.5543750840209426
0.5,4.0,0.15,partial_33,5,0,0.9811320754716981,11150.0,8746,606060.0,677.2000000000854,0.3929500944342549
0.5,4.0,0.15,partial_33,5,1,0.9937106918238994,10700.0,8804,606060.0,674.2000000000847,0.4124597527542765
0.5,4.0,0.15,partial_33,10,0,0.9962264150943396,11050.0,16642,1212120.0,699.6000000000905,0.39861805974926934
0.5,4.0,0.15,partial_33,10,1,0.9471698113207547,9500.0,18094,1212120.0,680.1000000000861,0.37131513292686036
0.5,4.0,0.15,partial_33,20,0,1.0,13075.0,2486,190191.39290917898,49.10000000000043,0.5640005136077451
0.5,4.0,0.15,partial_33,20,1,1.0,16275.0,2973,220296.65428478178,57.300000000000544,0.5045097788749681
0.5,4.0,0.15,closed_33,2,0,0.6176470588235294,950.0,2256,242424.00000000003,691.3000000000886,0.19446680182619866
0.5,4.0,0.15,closed_33,2,1,0.7439446366782007,75.0,2344,242424.00000000003,694.4000000000893,0.34444634322055157
0.5,4.0,0.15,closed_33,5,0,0.9221453287197232,2975.0,5415,606060.0,716.7000000000944,0.4428191642705317
0.5,4.0,0.15,closed_33,5,1,0.9913494809688581,4450.0,6448,606060.0,699.5000000000905,0.479001185053616
0.5,4.0,0.15,closed_33,10,0,0.9204152249134948,6925.0,10598,1212120.0,722.0000000000956,0.34653877681298195
0.5,4.0,0.15,closed_33,10,1,0.9775086505190311,7725.0,10983,1212120.0,720.7000000000953,0.38736144953441076
0.5,4.0,0.15,closed_33,20,0,1.0,9250.0,2107,189142.009392153,50.90000000000045,0.561269760432571
0.5,4.0,0.15,closed_33,20,1,1.0,10525.0,2130,194962.5880084741,52.60000000000048,0.5339038530952236
0.5,4.0,0.3,open_33,2,0,0.9729448491155047,12925.0,3490,242424.00000000003,623.7000000000733,0.43049585432625703
0.5,4.0,0.3,open_33,2,1,1.0,8550.0,3380,236975.45846053638,602.5000000000684,0.5184514625801877
0.5,4.0,0.3,open_33,5,0,1.0,17400.0,2451,185382.89763060457,186.79999999999367,0.523039255459415
0.5,4.0,0.3,open_33,5,1,1.0,15375.0,2220,170004.08818186284,170.4999999999946,0.5581266822266688
0.5,4.0,0.3,open_33,10,0,1.0,17525.0,2332,175971.34575465135,88.89999999999922,0.5477448600810259
0.5,4.0,0.3,open_33,10,1,1.0,19225.0,2646,193068.4860816046,97.09999999999876,0.516858132041689
0.5,4.0,0.3,open_33,20,0,1.0,18025.0,2279,170242.67254629591,43.200000000000344,0.5537598017274875
0.5,4.0,0.3,open_33,20,1,1.0,17100.0,2334,172878.05912073934,43.900000000000354,0.5636679696077732
0.5,4.0,0.3,partial_33,2,0,0.989937106918239,1650.0,3334,242424.00000000003,646.9000000000785,0.5778789215334658
0.5,4.0,0.3,partial_33,2,1,0.9962264150943396,4375.0,2670,242424.00000000003,680.4000000000862,0.5543750840209426
0.5,4.0,0.3,partial_33,5,0,0.9811320754716981,11150.0,8746,606060.0,677.2000000000854,0.3929500944342549
0.5,4.0,0.3,partial_33,5,1,0.9937106918238994,10700.0,8804,606060.0,674.2000000000847,0.4124597527542765
0.5,4.0,0.3,partial_33,10,0,0.9962264150943396,11050.0,16642,1212120.0,699.6000000000905,0.39861805974926934
0.5,4.0,0.3,partial_33,10,1,0.9471698113207547,9500.0,18094,1212120.0,680.1000000000861,0.37131513292686036
0.5,4.0,0.3,partial_33,20,0,1.0,13075.0,2486,190191.39290917898,49.10000000000043,0.5640005136077451
0.5,4.0,0.3,partial_33,20,1,1.0,16275.0,2973,220296.65428478178,57.300000000000544,0.5045097788749681
0.5,4.0,0.3,closed_33,2,0,0.6176470588235294,950.0,2256,242424.00000000003,691.3000000000886,0.19446680182619866
0.5,4.0,0.3,closed_33,2,1,0.7439446366782007,75.0,2344,242424.00000000003,694.4000000000893,0.34444634322055157
0.5,4.0,0.3,closed_33,5,0,0.9221453287197232,2975.0,5415,606060.0,716.7000000000944,0.4428191642705317
0.5,4.0,0.3,closed_33,5,1,0.9913494809688581,4450.0,6448,606060.0,699.5000000000905,0.479001185053616
0.5,4.0,0.3,closed_33,10,0,0.9204152249134948,6925.0,10598,1212120.0,722.0000000000956,0.34653877681298195
0.5,4.0,0.3,closed_33,10,1,0.9775086505190311,7725.0,10983,1212120.0,720.7000000000953,0.38736144953441076
0.5,4.0,0.3,closed_33,20,0,1.0,9250.0,2107,189142.009392153,50.90000000000045,0.561269760432571
0.5,4.0,0.3,closed_33,20,1,1.0,10525.0,2130,194962.5880084741,52.60000000000048,0.5339038530952236
1.0,1.0,0.05,open_33,2,0,1.0,14800.0,3060,226041.36035226192,578.3000000000629,0.45220797835354776
1.0,1.0,0.05,open_33,2,1,1.0,14900.0,2950,220686.55189829879,561.9000000000592,0.4561664355634071
1.0,1.0,0.05,open_33,5,0,1.0,19725.0,3094,229082.91632258613,233.09999999999104,0.47019332962761956
1.0,1.0,0.05,open_33,5,1,1.0,16625.0,2661,201740.32094525942,206.39999999999256,0.5239191626434572
1.0,1.0,0.05,open_33,10,0,1.0,19450.0,2609,200378.58867036784,102.39999999999846,0.5140058218346555
1.0,1.0,0.05,open_33,10,1,1.0,20525.0,2893,209892.84070657962,106.59999999999822,0.4934976162994074
1.0,1.0,0.05,open_33,20,0,1.0,19850.0,2540,188200.0672063306,48.200000000000415,0.5232674966374893
1.0,1.0,0.05,open_33,20,1,1.0,20825.0,2994,217659.62981770327,55.80000000000052,0.4998845469776472
1.0,1.0,0.05,partial_33,2,0,0.9761006289308176,9300.0,3178,242424.00000000003,646.2000000000784,0.450155912490496
1.0,1.0,0.05,partial_33,2,1,0.9723270440251572,9100.0,3156,242424.00000000003,651.8000000000796,0.44954676108899416
1.0,1.0,0.05,partial_33,5,0,0.9974842767295597,9800.0,8699,606060.0,678.4000000000857,0.43017851510838645
1.0,1.0,0.05,partial_33,5,1,0.9522012578616352,8575.0,8880,606060.0,675.500000000085,0.40188827607780897
1.0,1.0,0.05,partial_33,10,0,1.0,13750.0,2686,205186.1256125921,107.19999999999818,0.5365162537010607
1.0,1.0,0.05,partial_33,10,1,1.0,14825.0,3564,257516.4557312252,134.29999999999666,0.5002533907986622
1.0,1.0,0.05,partial_33,20,0,1.0,15700.0,2974,225534.9532267768,59.400000000000574,0.5128601146420712
1.0,1.0,0.05,partial_33,20,1,1.0,14850.0,3031,222235.28703612648,58.100000000000556,0.5249441681909753
