elite_fraction,p_crossover,p_mutation,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
0.2,0.4,0.15,closed_33,2,1,0.6487889273356401,950.0,2229,242424.00000000003,705.7000000000919,0.22782406447715073
0.2,0.4,0.15,closed_33,5,0,0.9619377162629758,9700.0,7036,606060.0,680.4000000000862,0.33807968403171507
0.2,0.4,0.15,closed_33,5,1,1.0,9900.0,6178,550637.2904156297,607.6000000000696,0.3888943903026806
0.2,0.4,0.15,closed_33,10,0,1.0,11775.0,6682,568010.9323328563,311.8000000000024,0.4117325925762228
0.2,0.4,0.15,closed_33,10,1,0.8581314878892734,7750.0,13271,1212120.0,704.2000000000916,0.2635958444666797
0.2,0.4,0.15,closed_33,20,0,1.0,13275.0,5556,441264.63241034234,118.49999999999754,0.4263710861439589
0.2,0.4,0.15,closed_33,20,1,1.0,12400.0,6060,486103.953720083,131.6999999999968,0.43971915676214807
0.2,0.4,0.3,open_33,2,0,1.0,16700.0,3043,213762.0285134889,530.9000000000522,0.43610354929116124
0.2,0.4,0.3,open_33,2,1,1.0,15250.0,2626,192035.9550479892,479.4000000000405,0.47552539467401445
0.2,0.4,0.3,open_33,5,0,1.0,21900.0,4235,278266.0523750208,279.09999999999496,0.415699705837799
0.2,0.4,0.3,open_33,5,1,1.0,21750.0,4468,293196.29900452774,291.0999999999977,0.41163308962674217
0.2,0.4,0.3,open_33,10,0,1.0,21950.0,4194,274160.27107572905,137.59999999999647,0.44916599673825197
0.2,0.4,0.3,open_33,10,1,1.0,22450.0,4696,302871.4911967139,149.89999999999577,0.43453819956795114
0.2,0.4,0.3,open_33,20,0,1.0,23325.0,7358,431750.03787467396,107.69999999999816,0.41767137039779617
0.2,0.4,0.3,open_33,20,1,1.0,22850.0,5179,327098.4779155459,81.79999999999963,0.4421369767032389
0.2,0.4,0.3,partial_33,2,0,0.7849056603773585,4400.0,3433,242424.00000000003,651.5000000000796,0.32018859139856626
0.2,0.4,0.3,partial_33,2,1,0.25660377358490566,1275.0,3562,242424.00000000003,670.2000000000838,-0.19083529004409974
0.2,0.4,0.3,partial_33,5,0,1.0,17400.0,7489,504933.9786112079,538.5000000000539,0.3458062113889034
0.2,0.4,0.3,partial_33,5,1,1.0,16500.0,4088,287885.8385419963,297.59999999999917,0.431173460526081
0.2,0.4,0.3,partial_33,10,0,0.9886792452830189,16275.0,17977,1212120.0,674.6000000000848,0.3111417101613182
0.2,0.4,0.3,partial_33,10,1,1.0,17250.0,4755,331058.86297777016,173.09999999999445,0.44314439385966875
0.2,0.4,0.3,partial_33,20,0,1.0,18050.0,5739,378222.8405209016,98.0999999999987,0.4415127471049519
0.2,0.4,0.3,partial_33,20,1,1.0,18450.0,5439,360944.4557589055,93.69999999999895,0.43826107896090505
0.2,0.4,0.3,closed_33,2,0,0.7525951557093425,3325.0,2194,242424.00000000003,693.000000000089,0.28875821526934153
0.2,0.4,0.3,closed_33,2,1,0.7335640138408305,2650.0,2070,242424.00000000003,700.6000000000907,0.2851046741321811
0.2,0.4,0.3,closed_33,5,0,1.0,10200.0,6578,550139.0303597325,604.0000000000688,0.38135010829652005
