inertia,cognitive,social,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
0.5,5.0,0.5,closed_33,2,1,0.40484429065743943,625.0,747,242424.00000000003,729.2000000000972,0.018983700693805144
0.5,5.0,0.5,closed_33,5,0,0.5899653979238755,4000.0,2242,606060.0,725.6000000000964,0.10208108111728667
0.5,5.0,0.5,closed_33,5,1,0.6833910034602076,4275.0,1653,606060.0,724.9000000000963,0.20805356188124766
0.5,5.0,0.5,closed_33,10,0,1.0,10400.0,1838,210982.72121078754,113.79999999999781,0.530712435408422
0.5,5.0,0.5,closed_33,10,1,0.7820069204152249,5675.0,3312,1212120.0,733.6000000000982,0.2557679115487749
0.5,5.0,0.5,closed_33,20,0,1.0,11125.0,2085,275245.15995869227,76.09999999999995,0.5177456338364291
0.5,5.0,0.5,closed_33,20,1,1.0,10200.0,1947,203449.7716120095,54.500000000000504,0.5447863337636032
0.5,8.0,0.0,open_33,2,0,0.6930280957336108,2425.0,4192,242424.00000000003,595.3000000000668,0.25943073018195884
0.5,8.0,0.0,open_33,2,1,0.8407908428720083,2250.0,4069,242424.00000000003,594.9000000000667,0.41795335089424845
0.5,8.0,0.0,open_33,5,0,1.0,14300.0,6679,379265.10838554666,371.3000000000159,0.4687799983664085
0.5,8.0,0.0,open_33,5,1,1.0,11775.0,7142,403038.9489107642,394.5000000000212,0.4924873635867234
0.5,8.0,0.0,open_33,10,0,1.0,17075.0,6947,391524.30563656916,191.6999999999934,0.4765846589528048
0.5,8.0,0.0,open_33,10,1,1.0,15475.0,5889,342698.0586909114,167.69999999999476,0.50801315279644
0.5,8.0,0.0,open_33,20,0,1.0,17100.0,4669,283238.041549386,69.40000000000033,0.520803956314462
0.5,8.0,0.0,open_33,20,1,1.0,18125.0,6130,357342.343699289,87.5999999999993,0.49303875881542436
0.5,8.0,0.0,partial_33,2,0,0.7371069182389937,775.0,1860,242424.00000000003,700.3000000000907,0.3528368053948515
0.5,8.0,0.0,partial_33,2,1,0.7748427672955975,550.0,2430,242424.00000000003,666.8000000000831,0.3827661668531849
0.5,8.0,0.0,partial_33,5,0,0.9056603773584906,6225.0,4886,606060.0,706.200000000092,0.4057838150349543
0.5,8.0,0.0,partial_33,5,1,0.9320754716981132,2725.0,5282,606060.0,708.7000000000926,0.4834074691321284
0.5,8.0,0.0,partial_33,10,0,0.9421383647798742,9450.0,8827,1212120.0,727.0000000000967,0.37851732318216924
0.5,8.0,0.0,partial_33,10,1,0.9811320754716981,10800.0,11212,1212120.0,703.2000000000913,0.39318177177517366
0.5,8.0,0.0,partial_33,20,0,1.0,13400.0,2753,249756.86733733257,63.90000000000064,0.5500754570567085
0.5,8.0,0.0,partial_33,20,1,0.9823899371069182,13950.0,19559,2424240.0,725.4000000000964,0.33889862896792267
0.5,8.0,0.0,closed_33,2,0,0.4342560553633218,0.0,997,242424.00000000003,723.600000000096,0.050148149380415785
0.5,8.0,0.0,closed_33,2,1,0.39792387543252594,0.0,2939,242424.00000000003,701.900000000091,-0.02474713890778471
0.5,8.0,0.0,closed_33,5,0,0.42560553633217996,925.0,1598,606060.0,731.2000000000977,0.001978631612570142
0.5,8.0,0.0,closed_33,5,1,0.8667820069204152,1525.0,1657,606060.0,732.2000000000979,0.4603244848794521
0.5,8.0,0.0,closed_33,10,0,0.9359861591695502,6300.0,4988,1212120.0,730.5000000000975,0.39010018059333995
0.5,8.0,0.0,closed_33,10,1,0.773356401384083,5675.0,4143,1212120.0,731.4000000000977,0.24030757400999617
0.5,8.0,0.0,closed_33,20,0,1.0,7025.0,2349,380584.943591482,107.79999999999815,0.5907172511459993
0.5,8.0,0.0,closed_33,20,1,0.9463667820069204,6775.0,6341,2424240.0,732.9000000000981,0.3850889399279558
0.5,8.0,0.25,open_33,2,0,0.6201873048907388,2875.0,4306,242424.00000000003,593.4000000000664,0.17631766458875617
0.5,8.0,0.25,open_33,2,1,0.7200832466181062,5950.0,4229,242424.00000000003,593.9000000000665,0.2435277429636377
0.5,8.0,0.25,open_33,5,0,1.0,14925.0,5685,328944.72328811,322.3000000000048,0.4786125393094114
0.5,8.0,0.25,open_33,5,1,1.0,17500.0,4495,268032.19000283035,263.19999999999135,0.47043746739721604
0.5,8.0,0.25,open_33,10,0,1.0,17775.0,3464,223365.02626840072,109.69999999999804,0.516578554599377
0.5,8.0,0.25,open_33,10,1,1.0,17025.0,2669,179955.894074545,88.39999999999925,0.5453856711261034
0.5,8.0,0.25,open_33,20,0,1.0,18875.0,4328,263962.1677299901,64.8000000000006,0.5030896099790648
0.5,8.0,0.25,open_33,20,1,1.0,18825.0,3663,228520.8551145913,56.10000000000053,0.5136649301397849
0.5,8.0,0.25,partial_33,2,0,0.8805031446540881,1575.0,1313,242424.00000000003,705.7000000000919,0.5166070229045793
0.5,8.0,0.25,partial_33,2,1,0.4025157232704403,175.0,1051,242424.00000000003,725.9000000000965,0.02545165123010798
0.5,8.0,0.25,partial_33,5,0,0.9974842767295597,8075.0,5389,606060.0,711.1000000000931,0.4696357315178238
0.5,8.0,0.25,partial_33,5,1,0.9861635220125786,4300.0,5061,606060.0,726.0000000000965,0.5170529381488594
0.5,8.0,0.25,partial_33,10,0,0.989937106918239,9750.0,8398,1212120.0,727.2000000000968,0.4240278048819456
0.5,8.0,0.25,partial_33,10,1,0.9987421383647799,12500.0,8349,1212120.0,719.7000000000951,0.3916711665635989
0.5,8.0,0.25,partial_33,20,0,1.0,12900.0,2640,241949.50326175895,62.40000000000062,0.5602991609595527
0.5,8.0,0.25,partial_33,20,1,0.989937106918239,13925.0,13871,2424240.0,724.4000000000962,0.3514112284188513
