a_initial,a_final,decay_steps,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
2.0,0.5,500,closed_33,20,1,0.49480968858131485,3175.0,7346,2424240.0,732.8000000000981,-0.004309572515650756
2.0,0.5,1500,open_33,2,0,1.0,18950.0,3047,218359.6466703167,558.5000000000584,0.40519653951069967
2.0,0.5,1500,open_33,2,1,1.0,19250.0,2921,215147.12577869918,549.9000000000565,0.4056992752660613
2.0,0.5,1500,open_33,5,0,1.0,22275.0,5021,326294.02434556745,329.60000000000645,0.39228000076826824
2.0,0.5,1500,open_33,5,1,1.0,21700.0,4930,320028.21140439255,323.8000000000051,0.4016978509887497
2.0,0.5,1500,open_33,10,0,1.0,22500.0,7931,479780.39977534907,239.89999999999065,0.39429117790390644
2.0,0.5,1500,open_33,10,1,1.0,23075.0,7961,485144.36302465503,243.79999999999043,0.38636293132288924
2.0,0.5,1500,open_33,20,0,1.0,23350.0,13547,782094.5605130801,194.59999999999323,0.38170066745795633
2.0,0.5,1500,open_33,20,1,1.0,23000.0,13686,788114.374694264,196.8999999999931,0.38552385066225364
2.0,0.5,1500,partial_33,2,0,0.9962264150943396,15075.0,2936,242424.00000000003,643.9000000000779,0.38796870641797354
2.0,0.5,1500,partial_33,2,1,0.8490566037735849,11850.0,3077,242424.00000000003,649.9000000000792,0.279715450152651
2.0,0.5,1500,partial_33,5,0,0.5169811320754717,5450.0,7418,606060.0,681.4000000000864,0.006021674508553204
2.0,0.5,1500,partial_33,5,1,0.5459119496855346,5375.0,4675,606060.0,729.3000000000973,0.045819868994289276
2.0,0.5,1500,partial_33,10,0,0.779874213836478,12750.0,7124,1212120.0,710.9000000000931,0.1669955342446767
2.0,0.5,1500,partial_33,10,1,0.9081761006289308,15325.0,17643,1212120.0,662.8000000000822,0.24420507516747805
2.0,0.5,1500,partial_33,20,0,0.9421383647798742,17775.0,27372,2424240.0,683.6000000000869,0.23738250329867558
2.0,0.5,1500,partial_33,20,1,0.8742138364779874,14950.0,30105,2424240.0,674.6000000000848,0.21087849519453297
2.0,0.5,1500,closed_33,2,0,0.10207612456747404,0.0,674,242424.00000000003,730.8000000000976,-0.31822098017710676
2.0,0.5,1500,closed_33,2,1,0.4342560553633218,3675.0,2742,242424.00000000003,674.6000000000848,-0.061327263293963014
2.0,0.5,1500,closed_33,5,0,0.45501730103806226,4875.0,3762,606060.0,720.3000000000952,-0.07103573159869234
2.0,0.5,1500,closed_33,5,1,0.3460207612456747,1825.0,1729,606060.0,730.0000000000974,-0.10520875748829708
2.0,0.5,1500,closed_33,10,0,0.7301038062283737,8825.0,7261,1212120.0,702.1000000000911,0.11891930700969397
2.0,0.5,1500,closed_33,10,1,0.39965397923875434,4025.0,3350,1212120.0,730.1000000000975,-0.10900234277173701
2.0,0.5,1500,closed_33,20,0,0.5397923875432526,3600.0,10552,2424240.0,733.4000000000982,0.029223069862673284
